id,question,reference_answer,provided_answer,answer_feedback,verification_feedback,score
6a31b925382d4e31a417cc78399dbff2,"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension.","Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel.
Advantage :it is more efficient than carrier extension as single frames not filled up with garbage.
Disadvantage :need frames waiting for transmission or buffering and delay of frames","Frame bursting is a feature for the IEEE 802.3z standard.
Advantage: better efficiency
Disadvantage: station has to wait for enough data to send so frames need to wait (n-to-n delay)","The response correctly answers the advantage and disadvantage part of the question. However, the definition is missing in the answer. The correct definition is that frame bursting is used to concatenate a sequence of multiple frames and transmitting them in one single transmission to reduce the overhead of transmitting small frames.",Partially correct,0.5
fa2712ae605143e1a277ad6df6c2d7b3,Discuss 3 methods (each with at least one advantage and disadvantage) that address the problem of duplicate packets on the transport layer in a connection-oriented service.,"1. to use temporarily valid TSAPs -method: -TSAP valid for one connection only -generate always new TSAPs -evaluation -in general not always applicable:-process server addressing method not possible, because -server is reached via　a designated/known TSAP - some TSAPs always exist as ""well-known"" 2. to identify connections individually -method: -each individual connection is assigned a new SeqNo and -endsystems remember already assigned SeqNo -evaluation -endsystems must be capable of storing this information -prerequisite: -connection oriented system (what if connection-less?) -endsystems, however, will be switched off and it is necessary that the information is reliably available whenever needed 3. to identify PDUs individually: individual sequential numbers for each PDU -method: -SeqNo basically never gets reset -e.g. 48 bit at 1000 msg/sec: reiteration after 8000 years -evaluation -higher usage of bandwidth and memory -sensible choice of the sequential number range depends on -the packet rate -a packet's probable ""lifetime"" within the network","1. Use of temporarily valid TSAPs:
2. Indentify connections individually
3. Identify PDUs individually:",Only names mentioned.,Partially correct,0.5
76a8b716eb8f4bdf8ef918aa1ab467ad,"Consider a single server queueing system with a buffer of size 10. Let us assume that 9 packets arrive per second and 10 packets are served per second on an average. Assume you monitor the system for exactly one minute after the system reaches equilibrium. How many seconds would you expect the system to be in a state in which there are less than 10 packets waiting in the queue? You need to justify your answer by showing steps involved; calculations, however, need not be included. headers.","Since we have a buffer size (N) of 10, we will always have less than 10 packets waiting in the queue unless there are exactly 10 packets in the queue. Therefore, we first calculate the probability of the system being full/having 10 packets in the queue. This is also called “blocking probability” or P_B.
P_B = ((1 - utilization) * utilization^N) / 1 - utilization^(N+1) = ((1-0.9) * 0.9^10) / (1 - 0.9^11) = 0.0508
Alternatively to the blocking probability, it is also valid to directly calculate P(X less than 10) = (1 -P_B) by summing up the probabilities for 0, 1, …, 9 packets to be in the queue. To calculate the expected time where the system is not blocked in the 60-second observation time-frame, we simply multiply the time frame with P(X less than 10) or the complement of P_B (0.25p) = 60 * (1-P_B) = 56.9512 seconds","This can be calculated by using the blocking probability which is the probability for that the system is full (slide 31 in script).  For the given system this result in a probability of 0.05 using N=10 and lambda=9 and µ=10 as parameters. So the inverse probability saying that the system has less than 10 packets in the waiting queue is 1-0.05=0.95. 
As a result of this we expect the system to be for 0.95*60s=57s in the state ""not full"".",The response correctly states the non-blocking time and provides a valid justification for the calculation.,Correct,1.0
99a2b05b1e8c42f09feeae71be973b31,WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?,"Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.

Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now.
Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).","The purpose of these two algorithms is to broadcast the packets to all the nodes present while reducing the duplicates. Reverse Path Forwarding: When a packet is received at an IS from a sender,  then it is checked whether this is the correct and shortest path followed or not ie if the IS had to send the packets back will it use the same route or not. If the route is correct, in that case the packet is accepted and then forwarded to all other edges. If not then then packet is discarded as it might be a duplicate packet. Reverse Path Broadcast: When a packet is unicasted to a particular station the other other station listen to check if that is the best route to the packet forwarding for the receiver station or not. If that is the best route then when a packet arrives at a station then it is also send to this edge. If that is not the best route then the packet is rejected and not sent on that path. In this case it learns from the packets whether a node lies in the path of sending or receiving to a particular node or not if it does then it also forwards the packet to that path else it does not forward to that path.","The response correctly answers the purpose and the explanation for both broadcast types.In both algorithms, the packet is also not forwarded to the edge from which it was received.",Partially correct,0.9
435d0324512d46cf8c23f34fa71b950c,What are extension headers in IPv6 and where are they located in a packet? What is the main advantage of extension headers compared to IPv4?,"Extension headers are used to extend the fixed IPv6 header with additional, optional network layer information. If present, they are located between the fixed header/main header and payload/upper-layer header/ transport-layer header.

Main advantage: One of the following advantages are considered fully correct:
1. It allows the appending of new options without changing the header.
2. IPv6 packets with optional headers are typically processed faster/simpler by intermediate devices as most of the options are ignored (except “Hop-by-Hop Extension”) while they are processed by all routers in IPv4 unless ordered otherwise.","Extension headers are optional headers placed between fixed header and payload.
The advantages are the help to overcome size limitation and the possibility to append new options without changing the fixed header.","The response answers the description, location of extension headers, and advantage correctly.",Correct,1.0
0006018bf61042dbbb2aad64b52f05c1,What are extension headers in IPv6 and where are they located in a packet? What is the main advantage of extension headers compared to IPv4?,"Extension headers are used to extend the fixed IPv6 header with additional, optional network layer information. If present, they are located between the fixed header/main header and payload/upper-layer header/ transport-layer header.

Main advantage: One of the following advantages are considered fully correct:
1. It allows the appending of new options without changing the header.
2. IPv6 packets with optional headers are typically processed faster/simpler by intermediate devices as most of the options are ignored (except “Hop-by-Hop Extension”) while they are processed by all routers in IPv4 unless ordered otherwise.","Extension headers are to store additional information, such as routing, destination, or fragment.They are optional. so they don't need to be always in a packet. 

They are located between the header and the payload. 

Main advantages compared to IPv4:
1. are optional
2. help to overcome size limitation
3. allow to append new options without changing the fixed header",The response answers all three parts of the question correctly.,Correct,1.0
2f583d5638af4bb7951bb301bb581765,"Please explain the problem with ""Distributed Queue Dual Buses"" that was discussed in the lecture in 1-3 sentences.",Depending on your position in the bus station have a disadvantage/advantage when reserving transmission rights.,"The problem consists of the arrangement of the sending notes / stations. The stations reserve on one bus, that they want to send something and can then send if their reserved timeslot occurs. When the station at the end of the bus want to reserve something, then it might be possible, that there are no more free places to reserve, therefore it has to wait for the next cycle what is unfair in contrast to the other stations.",The response correctly identifies and explains the fairness issue in DQDB.,Correct,1.0
af3bbaff4bfb4c20a633530f876e3aa0,WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?,"Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.

Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now.
Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).","RPF and RPB are used to reduce traffic when sending broadcast messages. RPF: Only resend incoming broadcast packets if they came over the best link (link usually used for unicast) to the source. RPB: Nodes look at packets to find out, if they are on the unicast path from one node to another. If they receive a broadcast packet, they only forward them to nodes that use them on the path for a unicast packet.","The response is partially correct as in RPF, the node forwards the packet instead of ""resending"" it. In both algorithms, the packet is also not forwarded to the edge from which it was received. The other parts are correct.",Partially correct,0.8
050459587d614dd5b3662284b3a75de8,"A company is planning to set up a new LAN at one of their locations and is looking for an appropriate medium access procedure. However, the funding is tight so they expect the channel load to be high compared to the hardware they can provide. Currently, they would like to have 20 systems sharing the channel, but it should be expandable later on. Which of the MAC procedures introduced in the lecture (Polling, TDMA with or without Reservation, Token Ring, Pure or Slotted ALOHA, 1-persistent CSMA, p-persistent CSMA, non-persistent CSMA or CSMA/CD) would you recommend?Give 2 reasons for your decision and 1 potential weakness of your recommendation in 2-6 sentences.","0.5 P for a sensible choice out of: Token Ring, p-persistent or non-persistent CSMA, CSMA/CD or TDMA with reservation 1P for the drawback and 1P for an advantage.The following properties may be considered: Scalability, waiting time, extendability, cost effectiveness, constraints, hardware requirements, compatibility, throughput, overhead, complexity and prioritization capabilities","Token Ring, because it has a good throughput during high utilization and a maximal waiting time. 
A potential weakness are possible delays because of the waiting time for tokens",Correct,Correct,3.5
dffb7d34fed74b198a8d1aeb4212c593,"A company is planning to set up a new LAN at one of their locations and is looking for an appropriate medium access procedure. However, the funding is tight so they expect the channel load to be high compared to the hardware they can provide. Currently, they would like to have 20 systems sharing the channel, but it should be expandable later on. Which of the MAC procedures introduced in the lecture (Polling, TDMA with or without Reservation, Token Ring, Pure or Slotted ALOHA, 1-persistent CSMA, p-persistent CSMA, non-persistent CSMA or CSMA/CD) would you recommend?Give 2 reasons for your decision and 1 potential weakness of your recommendation in 2-6 sentences.","0.5 P for a sensible choice out of: Token Ring, p-persistent or non-persistent CSMA, CSMA/CD or TDMA with reservation 1P for the drawback and 1P for an advantage.The following properties may be considered: Scalability, waiting time, extendability, cost effectiveness, constraints, hardware requirements, compatibility, throughput, overhead, complexity and prioritization capabilities","I would recommend the Token Ring, because in comparison to the other procedures there (usually) are no collisions. And also can the Token Ring provide good throughput even at high channel load which likely is going to be the case.
A potentional weakness of the Token Ring is that it's not that flexible in expanding later on.",Correct,Correct,3.5
