sample_id,question_id,assignment,reference_answer,student_answer,teacher_grade_raw,teacher_grade,ai_grade_multi,ai_feedback_multi,ai_confidence_multi,baseline_grade,baseline_feedback
1,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ","$ L = {x1,x2...xn} $ $L = L0$ $x' = {}$ for the input (x,d) : do { xtest }",0.0,0.0,,,,,
2,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.",and there exist a linear saperater which saperates positve examples from the negavtive examples correctly. then we say that A can be shatter at h.,2.0,100.0,,,,,
3,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ","1. Label one class a positive with label +1 and the other class as negative with -1. 2. Augment the data with an additional value for the bias term. 3. Invert the sign of the data in the negative class. 4. Randomly initialize weights. 5. If $w^T \cdot x <= 0$, update weight by $ w(n+1) = w(n) + \eta x(n) $, else leave the weight unchanged. 6. Continue step 5. 7. terminate when there is no longer a change in any weight.",2.0,100.0,,,,,
4,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ","HERE: y denotes the actual result, d denotes the desired result positive train error: y = 0, d=1 $w{new} = w{old} + x $ negative train error: y = 1, d = 0 $w{new} = w{old} - x$",1.0,50.0,,,,,
5,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"A support vector machine is a maximum margin classifier in which the width of the boundary of separation is maximized. A margin is defined as the width of the boundary before hitting a point. This maximum margin intuitively feels safe, and is experimentally good.",1.0,50.0,,,,,
6,14,Describe: the structure on an CNN.,"Convolutional Neural Network consists of many layers such as a convolutional layer that has kernels which convolve over the input image, an activation layer (ReLU activation), pooling layer (max or average pooling), and one or more fully connected layers followed by softmax layer.","1. first stage, the layer performs several convolution parallel to produce a set of linear activation 2. detector stage, each linear activation is run through a non-linear activation 3. third stage, use a pooling function to modify the output of layer.",1.0,50.0,,,,,
7,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.","Artificial neural network is highly parralel processing. It has a mathematical model similar to human brain, which it was inspired from, as human brain does computation in an extremely parallel manner. Similarities also lay in terminology, ANN is using neurons that are smallest computing unit of a network, similarly to human brain.",1.0,50.0,,,,,
8,4,Explain classification and regression; what is the difference?,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. ,"Classification is about classifying the given data into different classes, where as regresssion is about finding the local/global minima.We use perceptrons to classify the data and we use unconstrained optimization techniques like newton's method to find regression.",1.0,50.0,,,,,
9,13,"Define: Echo State Network (ESN), how are they different to FF NNs?",Echo State Network is a type of Recurrent Neural Network and has at least one cyclic (feedback) connection. Only the weights of the output layers are updated while learning. ESN consists of feedback connections while a FF NN does not. ESN can approximate dynamic systems while FF NN cannot.  ,"- In the ESN we have a huge recurrent network which is called ""Dynamic Reservoir(DR)"" and we have an output layer connected to this DR and we will train the network by adapting and manipulating the connection weights just to the output layer - Unlike a feedforward network in a ESN because of the DR we have at least one loops that returns the output of a neuron with some time delay therefore we have memory in our network but in FF NNs we don't have any memory",2.0,100.0,,,,,
10,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ","Define a bias in order to be able to trigger to which class data points will be classefied to. Assign initial randomly chosen weights, use a squashing function for example McCullon Pits, start training proccess and stop when error of output and desired output has reached desired percentage.",0.0,0.0,,,,,
